"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"634","24,3 Years","232","2,64 Bill. €","4,16 Mill. €","2,64 Bill. €","4,16 Mill. €"
"2",NA,"Real Madrid","Real Madrid",41,"23,3","19","647,65 Mill. €","15,80 Mill. €","647,65 Mill. €","15,80 Mill. €",NA
"3",NA,"FC Barcelona","FC Barcelona",31,"24,4","16","598,45 Mill. €","19,30 Mill. €","598,45 Mill. €","19,30 Mill. €",NA
"4",NA,"Atlético Madrid","Atlético Madrid",32,"24,7","16","289,00 Mill. €","9,03 Mill. €","289,00 Mill. €","9,03 Mill. €",NA
"5",NA,"Valencia CF","Valencia CF",26,"23,1","13","137,30 Mill. €","5,28 Mill. €","137,30 Mill. €","5,28 Mill. €",NA
"6",NA,"Sevilla FC","Sevilla FC",34,"24,7","15","122,65 Mill. €","3,61 Mill. €","122,65 Mill. €","3,61 Mill. €",NA
"7",NA,"Athletic Bilbao","Athletic Bilbao",27,"25,2","1","110,50 Mill. €","4,09 Mill. €","110,50 Mill. €","4,09 Mill. €",NA
"8",NA,"Real Sociedad","Real Sociedad",30,"24,6","5","107,30 Mill. €","3,58 Mill. €","107,30 Mill. €","3,58 Mill. €",NA
"9",NA,"Villarreal CF","Villarreal CF",37,"23,1","12","88,60 Mill. €","2,39 Mill. €","88,60 Mill. €","2,39 Mill. €",NA
"10",NA,"Málaga CF","Málaga CF",30,"25,6","18","62,35 Mill. €","2,08 Mill. €","62,35 Mill. €","2,08 Mill. €",NA
"11",NA,"Granada CF","Granada CF",39,"24,4","21","60,98 Mill. €","1,56 Mill. €","60,98 Mill. €","1,56 Mill. €",NA
"12",NA,"RCD Espanyol Barcelona","Espanyol",31,"24,6","6","55,10 Mill. €","1,78 Mill. €","55,10 Mill. €","1,78 Mill. €",NA
"13",NA,"Rayo Vallecano","Rayo Vallecano",29,"25,7","12","52,60 Mill. €","1,81 Mill. €","52,60 Mill. €","1,81 Mill. €",NA
"14",NA,"Deportivo de La Coruña","Dep. La Coruña",33,"25,5","12","48,60 Mill. €","1,47 Mill. €","48,60 Mill. €","1,47 Mill. €",NA
"15",NA,"Getafe CF","Getafe CF",34,"25,1","9","48,15 Mill. €","1,42 Mill. €","48,15 Mill. €","1,42 Mill. €",NA
"16",NA,"Levante UD","Levante UD",31,"26,8","10","47,10 Mill. €","1,52 Mill. €","47,10 Mill. €","1,52 Mill. €",NA
"17",NA,"Córdoba CF","Córdoba CF",36,"24,8","15","44,70 Mill. €","1,24 Mill. €","44,70 Mill. €","1,24 Mill. €",NA
"18",NA,"Celta de Vigo","Celta de Vigo",28,"23,3","10","39,40 Mill. €","1,41 Mill. €","39,40 Mill. €","1,41 Mill. €",NA
"19",NA,"Elche CF","Elche CF",29,"24,7","8","31,38 Mill. €","1,08 Mill. €","31,38 Mill. €","1,08 Mill. €",NA
"20",NA,"UD Almería","UD Almería",31,"24,1","11","25,10 Mill. €","810 Th. €","25,10 Mill. €","810 Th. €",NA
"21",NA,"SD Eibar","SD Eibar",25,"27,3","3","21,10 Mill. €","844 Th. €","21,10 Mill. €","844 Th. €",NA
