"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"640","24,5 Years","252","3,14 Bill. €","4,91 Mill. €","3,14 Bill. €","4,91 Mill. €"
"2",NA,"Real Madrid","Real Madrid",30,"23,8","17","700,75 Mill. €","23,36 Mill. €","700,75 Mill. €","23,36 Mill. €",NA
"3",NA,"FC Barcelona","FC Barcelona",32,"24,9","15","618,50 Mill. €","19,33 Mill. €","618,50 Mill. €","19,33 Mill. €",NA
"4",NA,"Atlético Madrid","Atlético Madrid",30,"24,4","17","336,00 Mill. €","11,20 Mill. €","336,00 Mill. €","11,20 Mill. €",NA
"5",NA,"Valencia CF","Valencia CF",38,"22,7","20","254,50 Mill. €","6,70 Mill. €","254,50 Mill. €","6,70 Mill. €",NA
"6",NA,"Sevilla FC","Sevilla FC",38,"24,8","19","186,50 Mill. €","4,91 Mill. €","186,50 Mill. €","4,91 Mill. €",NA
"7",NA,"Athletic Bilbao","Athletic Bilbao",28,"26,0","1","122,90 Mill. €","4,39 Mill. €","122,90 Mill. €","4,39 Mill. €",NA
"8",NA,"Real Sociedad","Real Sociedad",32,"24,6","6","122,25 Mill. €","3,82 Mill. €","122,25 Mill. €","3,82 Mill. €",NA
"9",NA,"Villarreal CF","Villarreal CF",28,"24,4","10","115,30 Mill. €","4,12 Mill. €","115,30 Mill. €","4,12 Mill. €",NA
"10",NA,"Málaga CF","Málaga CF",33,"26,0","23","78,20 Mill. €","2,37 Mill. €","78,20 Mill. €","2,37 Mill. €",NA
"11",NA,"Granada CF","Granada CF",33,"24,9","19","73,20 Mill. €","2,22 Mill. €","73,20 Mill. €","2,22 Mill. €",NA
"12",NA,"Real Betis Balompié","Real Betis",33,"25,9","14","72,45 Mill. €","2,20 Mill. €","72,45 Mill. €","2,20 Mill. €",NA
"13",NA,"Levante UD","Levante UD",31,"26,3","10","68,20 Mill. €","2,20 Mill. €","68,20 Mill. €","2,20 Mill. €",NA
"14",NA,"Celta de Vigo","Celta de Vigo",28,"23,6","12","63,80 Mill. €","2,28 Mill. €","63,80 Mill. €","2,28 Mill. €",NA
"15",NA,"RCD Espanyol Barcelona","Espanyol",33,"24,1","9","61,70 Mill. €","1,87 Mill. €","61,70 Mill. €","1,87 Mill. €",NA
"16",NA,"Getafe CF","Getafe CF",31,"24,7","13","55,15 Mill. €","1,78 Mill. €","55,15 Mill. €","1,78 Mill. €",NA
"17",NA,"Rayo Vallecano","Rayo Vallecano",35,"27,0","13","53,80 Mill. €","1,54 Mill. €","53,80 Mill. €","1,54 Mill. €",NA
"18",NA,"Deportivo de La Coruña","Dep. La Coruña",30,"27,4","11","51,35 Mill. €","1,71 Mill. €","51,35 Mill. €","1,71 Mill. €",NA
"19",NA,"SD Eibar","SD Eibar",35,"24,8","9","45,95 Mill. €","1,31 Mill. €","45,95 Mill. €","1,31 Mill. €",NA
"20",NA,"Sporting Gijón","Sporting Gijón",29,"23,8","7","30,50 Mill. €","1,05 Mill. €","30,50 Mill. €","1,05 Mill. €",NA
"21",NA,"UD Las Palmas","UD Las Palmas",33,"26,2","7","29,25 Mill. €","886 Th. €","29,25 Mill. €","886 Th. €",NA
