"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"662","24,8 Years","422","3,70 Bill. €","5,59 Mill. €","3,70 Bill. €","5,59 Mill. €"
"2",NA,"Manchester City","Man City",38,"24,0","27","510,15 Mill. €","13,43 Mill. €","510,15 Mill. €","13,43 Mill. €",NA
"3",NA,"Manchester United","Man Utd",36,"24,1","22","444,50 Mill. €","12,35 Mill. €","444,50 Mill. €","12,35 Mill. €",NA
"4",NA,"Chelsea FC","Chelsea",31,"25,3","22","408,50 Mill. €","13,18 Mill. €","408,50 Mill. €","13,18 Mill. €",NA
"5",NA,"Tottenham Hotspur","Spurs",35,"25,1","16","309,53 Mill. €","8,84 Mill. €","309,53 Mill. €","8,84 Mill. €",NA
"6",NA,"Arsenal FC","Arsenal",36,"23,8","29","293,75 Mill. €","8,16 Mill. €","293,75 Mill. €","8,16 Mill. €",NA
"7",NA,"Liverpool FC","Liverpool",38,"22,8","19","275,45 Mill. €","7,25 Mill. €","275,45 Mill. €","7,25 Mill. €",NA
"8",NA,"Newcastle United","Newcastle",36,"24,1","25","190,25 Mill. €","5,28 Mill. €","190,25 Mill. €","5,28 Mill. €",NA
"9",NA,"Queens Park Rangers","QPR",33,"28,1","18","150,00 Mill. €","4,55 Mill. €","150,00 Mill. €","4,55 Mill. €",NA
"10",NA,"Sunderland AFC","Sunderland",31,"25,4","18","127,00 Mill. €","4,10 Mill. €","127,00 Mill. €","4,10 Mill. €",NA
"11",NA,"Everton FC","Everton",26,"25,6","18","124,80 Mill. €","4,80 Mill. €","124,80 Mill. €","4,80 Mill. €",NA
"12",NA,"Fulham FC","Fulham",33,"26,9","29","114,50 Mill. €","3,47 Mill. €","114,50 Mill. €","3,47 Mill. €",NA
"13",NA,"West Ham United","West Ham",34,"25,1","17","114,45 Mill. €","3,37 Mill. €","114,45 Mill. €","3,37 Mill. €",NA
"14",NA,"Aston Villa","Aston Villa",31,"24,1","19","101,03 Mill. €","3,26 Mill. €","101,03 Mill. €","3,26 Mill. €",NA
"15",NA,"Stoke City","Stoke City",29,"27,6","16","99,10 Mill. €","3,42 Mill. €","99,10 Mill. €","3,42 Mill. €",NA
"16",NA,"Swansea City","Swansea",29,"25,9","25","88,00 Mill. €","3,03 Mill. €","88,00 Mill. €","3,03 Mill. €",NA
"17",NA,"West Bromwich Albion","West Brom",29,"25,7","20","83,00 Mill. €","2,86 Mill. €","83,00 Mill. €","2,86 Mill. €",NA
"18",NA,"Wigan Athletic","Wigan",35,"25,0","28","81,50 Mill. €","2,33 Mill. €","81,50 Mill. €","2,33 Mill. €",NA
"19",NA,"Norwich City","Norwich",34,"25,3","16","70,65 Mill. €","2,08 Mill. €","70,65 Mill. €","2,08 Mill. €",NA
"20",NA,"Southampton FC","Southampton",37,"24,3","16","68,85 Mill. €","1,86 Mill. €","68,85 Mill. €","1,86 Mill. €",NA
"21",NA,"Reading FC","Reading",31,"25,6","22","44,00 Mill. €","1,42 Mill. €","44,00 Mill. €","1,42 Mill. €",NA
