"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"636","24,4 Years","222","2,70 Bill. €","4,25 Mill. €","2,70 Bill. €","4,25 Mill. €"
"2",NA,"FC Barcelona","FC Barcelona",34,"23,8","12","561,10 Mill. €","16,50 Mill. €","561,10 Mill. €","16,50 Mill. €",NA
"3",NA,"Real Madrid","Real Madrid",38,"23,3","16","506,90 Mill. €","13,34 Mill. €","506,90 Mill. €","13,34 Mill. €",NA
"4",NA,"Sevilla FC","Sevilla FC",35,"24,4","19","225,15 Mill. €","6,43 Mill. €","225,15 Mill. €","6,43 Mill. €",NA
"5",NA,"Atlético Madrid","Atlético Madrid",30,"24,1","10","196,60 Mill. €","6,55 Mill. €","196,60 Mill. €","6,55 Mill. €",NA
"6",NA,"Valencia CF","Valencia CF",32,"25,4","13","178,10 Mill. €","5,57 Mill. €","178,10 Mill. €","5,57 Mill. €",NA
"7",NA,"Villarreal CF","Villarreal CF",34,"24,3","12","145,10 Mill. €","4,27 Mill. €","145,10 Mill. €","4,27 Mill. €",NA
"8",NA,"Athletic Bilbao","Athletic Bilbao",30,"24,2","1","98,30 Mill. €","3,28 Mill. €","98,30 Mill. €","3,28 Mill. €",NA
"9",NA,"Málaga CF","Málaga CF",37,"25,5","18","82,60 Mill. €","2,23 Mill. €","82,60 Mill. €","2,23 Mill. €",NA
"10",NA,"Deportivo de La Coruña","Dep. La Coruña",33,"25,5","10","74,35 Mill. €","2,25 Mill. €","74,35 Mill. €","2,25 Mill. €",NA
"11",NA,"Getafe CF","Getafe CF",29,"24,4","7","68,60 Mill. €","2,37 Mill. €","68,60 Mill. €","2,37 Mill. €",NA
"12",NA,"Real Zaragoza","Real Zaragoza",30,"25,1","16","67,00 Mill. €","2,23 Mill. €","67,00 Mill. €","2,23 Mill. €",NA
"13",NA,"CA Osasuna","CA Osasuna",29,"27,1","6","66,55 Mill. €","2,29 Mill. €","66,55 Mill. €","2,29 Mill. €",NA
"14",NA,"UD Almería","UD Almería",29,"24,9","16","64,35 Mill. €","2,22 Mill. €","64,35 Mill. €","2,22 Mill. €",NA
"15",NA,"Racing Santander","Racing",30,"25,0","12","62,35 Mill. €","2,08 Mill. €","62,35 Mill. €","2,08 Mill. €",NA
"16",NA,"Hércules CF","Hércules CF",32,"25,8","12","61,55 Mill. €","1,92 Mill. €","61,55 Mill. €","1,92 Mill. €",NA
"17",NA,"RCD Espanyol Barcelona","Espanyol",35,"23,3","11","61,10 Mill. €","1,75 Mill. €","61,10 Mill. €","1,75 Mill. €",NA
"18",NA,"Sporting Gijón","Sporting Gijón",33,"24,8","5","57,60 Mill. €","1,75 Mill. €","57,60 Mill. €","1,75 Mill. €",NA
"19",NA,"RCD Mallorca","RCD Mallorca",27,"25,1","13","54,23 Mill. €","2,01 Mill. €","54,23 Mill. €","2,01 Mill. €",NA
"20",NA,"Real Sociedad","Real Sociedad",26,"24,8","6","43,50 Mill. €","1,67 Mill. €","43,50 Mill. €","1,67 Mill. €",NA
"21",NA,"Levante UD","Levante UD",33,"25,7","7","27,10 Mill. €","821 Th. €","27,10 Mill. €","821 Th. €",NA
