"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"520","27,4 Years","347","4,91 Bill. €","9,44 Mill. €","4,91 Bill. €","9,44 Mill. €"
"2",NA,"Manchester City","Man City",25,"28,3","21","525,25 Mill. €","21,01 Mill. €","525,25 Mill. €","21,01 Mill. €",NA
"3",NA,"Chelsea FC","Chelsea",25,"26,6","20","515,00 Mill. €","20,60 Mill. €","515,00 Mill. €","20,60 Mill. €",NA
"4",NA,"Arsenal FC","Arsenal",28,"27,2","21","492,50 Mill. €","17,59 Mill. €","492,50 Mill. €","17,59 Mill. €",NA
"5",NA,"Manchester United","Man Utd",24,"27,0","15","466,00 Mill. €","19,42 Mill. €","466,00 Mill. €","19,42 Mill. €",NA
"6",NA,"Tottenham Hotspur","Spurs",24,"25,3","16","429,00 Mill. €","17,88 Mill. €","429,00 Mill. €","17,88 Mill. €",NA
"7",NA,"Liverpool FC","Liverpool",28,"25,7","17","372,20 Mill. €","13,29 Mill. €","372,20 Mill. €","13,29 Mill. €",NA
"8",NA,"Everton FC","Everton",26,"27,0","14","252,10 Mill. €","9,70 Mill. €","252,10 Mill. €","9,70 Mill. €",NA
"9",NA,"Southampton FC","Southampton",30,"26,2","17","230,50 Mill. €","7,68 Mill. €","230,50 Mill. €","7,68 Mill. €",NA
"10",NA,"West Ham United","West Ham",28,"27,1","21","209,45 Mill. €","7,48 Mill. €","209,45 Mill. €","7,48 Mill. €",NA
"11",NA,"Leicester City","Leicester",25,"27,7","18","205,30 Mill. €","8,21 Mill. €","205,30 Mill. €","8,21 Mill. €",NA
"12",NA,"Crystal Palace","Crystal Palace",27,"28,9","18","186,50 Mill. €","6,91 Mill. €","186,50 Mill. €","6,91 Mill. €",NA
"13",NA,"Stoke City","Stoke City",25,"29,3","19","168,25 Mill. €","6,73 Mill. €","168,25 Mill. €","6,73 Mill. €",NA
"14",NA,"Swansea City","Swansea",28,"27,7","28","127,60 Mill. €","4,56 Mill. €","127,60 Mill. €","4,56 Mill. €",NA
"15",NA,"Watford FC","Watford",26,"29,0","23","127,25 Mill. €","4,89 Mill. €","127,25 Mill. €","4,89 Mill. €",NA
"16",NA,"Hull City","Hull City",29,"27,1","18","112,85 Mill. €","3,89 Mill. €","112,85 Mill. €","3,89 Mill. €",NA
"17",NA,"AFC Bournemouth","Bournemouth",26,"26,4","10","106,00 Mill. €","4,08 Mill. €","106,00 Mill. €","4,08 Mill. €",NA
"18",NA,"Sunderland AFC","Sunderland",28,"27,1","20","102,00 Mill. €","3,64 Mill. €","102,00 Mill. €","3,64 Mill. €",NA
"19",NA,"Middlesbrough FC","Middlesbrough",25,"27,9","15","99,50 Mill. €","3,98 Mill. €","99,50 Mill. €","3,98 Mill. €",NA
"20",NA,"West Bromwich Albion","West Brom",20,"28,6","14","95,60 Mill. €","4,78 Mill. €","95,60 Mill. €","4,78 Mill. €",NA
"21",NA,"Burnley FC","Burnley",23,"28,2","9","85,00 Mill. €","3,70 Mill. €","85,00 Mill. €","3,70 Mill. €",NA
