"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"524","25,3 Years","196","2,25 Bill. €","4,29 Mill. €","2,25 Bill. €","4,29 Mill. €"
"2",NA,"FC Barcelona","FC Barcelona",25,"25,4","13","367,30 Mill. €","14,69 Mill. €","367,30 Mill. €","14,69 Mill. €",NA
"3",NA,"Real Madrid","Real Madrid",28,"25,6","18","361,30 Mill. €","12,90 Mill. €","361,30 Mill. €","12,90 Mill. €",NA
"4",NA,"Valencia CF","Valencia CF",26,"25,8","8","198,50 Mill. €","7,63 Mill. €","198,50 Mill. €","7,63 Mill. €",NA
"5",NA,"Atlético Madrid","Atlético Madrid",21,"25,6","12","193,80 Mill. €","9,23 Mill. €","193,80 Mill. €","9,23 Mill. €",NA
"6",NA,"Sevilla FC","Sevilla FC",27,"24,9","19","170,10 Mill. €","6,30 Mill. €","170,10 Mill. €","6,30 Mill. €",NA
"7",NA,"Villarreal CF","Villarreal CF",28,"25,6","12","131,30 Mill. €","4,69 Mill. €","131,30 Mill. €","4,69 Mill. €",NA
"8",NA,"RCD Espanyol Barcelona","Espanyol",27,"25,3","10","111,70 Mill. €","4,14 Mill. €","111,70 Mill. €","4,14 Mill. €",NA
"9",NA,"Real Betis Balompié","Real Betis",26,"26,2","12","93,10 Mill. €","3,58 Mill. €","93,10 Mill. €","3,58 Mill. €",NA
"10",NA,"CA Osasuna","CA Osasuna",28,"26,0","10","67,85 Mill. €","2,42 Mill. €","67,85 Mill. €","2,42 Mill. €",NA
"11",NA,"Racing Santander","Racing",25,"25,5","9","66,90 Mill. €","2,68 Mill. €","66,90 Mill. €","2,68 Mill. €",NA
"12",NA,"RCD Mallorca","RCD Mallorca",24,"25,5","10","64,70 Mill. €","2,70 Mill. €","64,70 Mill. €","2,70 Mill. €",NA
"13",NA,"Deportivo de La Coruña","Dep. La Coruña",30,"25,6","10","62,80 Mill. €","2,09 Mill. €","62,80 Mill. €","2,09 Mill. €",NA
"14",NA,"Getafe CF","Getafe CF",26,"25,9","13","62,70 Mill. €","2,41 Mill. €","62,70 Mill. €","2,41 Mill. €",NA
"15",NA,"Athletic Bilbao","Athletic Bilbao",27,"25,2","1","59,90 Mill. €","2,22 Mill. €","59,90 Mill. €","2,22 Mill. €",NA
"16",NA,"UD Almería","UD Almería",23,"25,3","10","59,35 Mill. €","2,58 Mill. €","59,35 Mill. €","2,58 Mill. €",NA
"17",NA,"Recreativo Huelva","Recr. Huelva",26,"25,7","9","46,68 Mill. €","1,80 Mill. €","46,68 Mill. €","1,80 Mill. €",NA
"18",NA,"Real Valladolid CF","Real Valladolid",26,"27,0","8","44,40 Mill. €","1,71 Mill. €","44,40 Mill. €","1,71 Mill. €",NA
"19",NA,"Málaga CF","Málaga CF",27,"26,6","8","39,65 Mill. €","1,47 Mill. €","39,65 Mill. €","1,47 Mill. €",NA
"20",NA,"CD Numancia","CD Numancia",25,"26,9","2","28,10 Mill. €","1,12 Mill. €","28,10 Mill. €","1,12 Mill. €",NA
"21",NA,"Sporting Gijón","Sporting Gijón",29,"25,4","2","19,70 Mill. €","679 Th. €","19,70 Mill. €","679 Th. €",NA
