"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"753","24,2 Years","458","3,73 Bill. €","4,95 Mill. €","3,73 Bill. €","4,95 Mill. €"
"2",NA,"Chelsea FC","Chelsea",33,"24,5","22","446,15 Mill. €","13,52 Mill. €","446,15 Mill. €","13,52 Mill. €",NA
"3",NA,"Manchester United","Man Utd",43,"24,1","28","384,15 Mill. €","8,93 Mill. €","384,15 Mill. €","8,93 Mill. €",NA
"4",NA,"Manchester City","Man City",45,"23,4","27","382,53 Mill. €","8,50 Mill. €","382,53 Mill. €","8,50 Mill. €",NA
"5",NA,"Liverpool FC","Liverpool",42,"23,5","25","365,50 Mill. €","8,70 Mill. €","365,50 Mill. €","8,70 Mill. €",NA
"6",NA,"Arsenal FC","Arsenal",34,"23,4","27","304,38 Mill. €","8,95 Mill. €","304,38 Mill. €","8,95 Mill. €",NA
"7",NA,"Tottenham Hotspur","Spurs",38,"24,7","21","296,00 Mill. €","7,79 Mill. €","296,00 Mill. €","7,79 Mill. €",NA
"8",NA,"Aston Villa","Aston Villa",39,"25,1","20","207,75 Mill. €","5,33 Mill. €","207,75 Mill. €","5,33 Mill. €",NA
"9",NA,"Everton FC","Everton",32,"23,9","21","178,53 Mill. €","5,58 Mill. €","178,53 Mill. €","5,58 Mill. €",NA
"10",NA,"West Ham United","West Ham",39,"25,1","23","158,95 Mill. €","4,08 Mill. €","158,95 Mill. €","4,08 Mill. €",NA
"11",NA,"Sunderland AFC","Sunderland",39,"23,7","20","137,33 Mill. €","3,52 Mill. €","137,33 Mill. €","3,52 Mill. €",NA
"12",NA,"Fulham FC","Fulham",34,"27,5","27","111,95 Mill. €","3,29 Mill. €","111,95 Mill. €","3,29 Mill. €",NA
"13",NA,"Birmingham City","Birmingham",34,"25,8","18","102,90 Mill. €","3,03 Mill. €","102,90 Mill. €","3,03 Mill. €",NA
"14",NA,"Stoke City","Stoke City",33,"27,0","20","96,40 Mill. €","2,92 Mill. €","96,40 Mill. €","2,92 Mill. €",NA
"15",NA,"Newcastle United","Newcastle",38,"23,7","17","95,65 Mill. €","2,52 Mill. €","95,65 Mill. €","2,52 Mill. €",NA
"16",NA,"Blackburn Rovers","Blackburn",37,"25,1","29","95,10 Mill. €","2,57 Mill. €","95,10 Mill. €","2,57 Mill. €",NA
"17",NA,"Bolton Wanderers","Bolton",34,"25,4","18","93,40 Mill. €","2,75 Mill. €","93,40 Mill. €","2,75 Mill. €",NA
"18",NA,"West Bromwich Albion","West Brom",37,"24,3","23","85,03 Mill. €","2,30 Mill. €","85,03 Mill. €","2,30 Mill. €",NA
"19",NA,"Wolverhampton Wanderers","Wolves",42,"23,7","23","76,80 Mill. €","1,83 Mill. €","76,80 Mill. €","1,83 Mill. €",NA
"20",NA,"Wigan Athletic","Wigan",35,"24,0","25","72,10 Mill. €","2,06 Mill. €","72,10 Mill. €","2,06 Mill. €",NA
"21",NA,"Blackpool FC","Blackpool",45,"24,3","24","38,10 Mill. €","886 Th. €","38,10 Mill. €","886 Th. €",NA
