"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"696","24,5 Years","490","4,19 Bill. €","6,02 Mill. €","4,19 Bill. €","6,02 Mill. €"
"2",NA,"Chelsea FC","Chelsea",48,"23,8","40","582,98 Mill. €","12,15 Mill. €","582,98 Mill. €","12,15 Mill. €",NA
"3",NA,"Manchester United","Man Utd",34,"24,9","24","511,75 Mill. €","15,05 Mill. €","511,75 Mill. €","15,05 Mill. €",NA
"4",NA,"Manchester City","Man City",27,"25,7","21","479,00 Mill. €","17,74 Mill. €","479,00 Mill. €","17,74 Mill. €",NA
"5",NA,"Arsenal FC","Arsenal",37,"23,8","31","332,70 Mill. €","8,99 Mill. €","332,70 Mill. €","8,99 Mill. €",NA
"6",NA,"Tottenham Hotspur","Spurs",36,"23,4","21","296,00 Mill. €","8,22 Mill. €","296,00 Mill. €","8,22 Mill. €",NA
"7",NA,"Liverpool FC","Liverpool",31,"23,8","22","272,50 Mill. €","8,79 Mill. €","272,50 Mill. €","8,79 Mill. €",NA
"8",NA,"Everton FC","Everton",30,"25,9","22","217,50 Mill. €","7,25 Mill. €","217,50 Mill. €","7,25 Mill. €",NA
"9",NA,"Newcastle United","Newcastle",33,"24,4","26","188,85 Mill. €","5,72 Mill. €","188,85 Mill. €","5,72 Mill. €",NA
"10",NA,"Sunderland AFC","Sunderland",37,"24,9","28","151,25 Mill. €","4,09 Mill. €","151,25 Mill. €","4,09 Mill. €",NA
"11",NA,"Fulham FC","Fulham",44,"25,4","33","148,35 Mill. €","3,37 Mill. €","148,35 Mill. €","3,37 Mill. €",NA
"12",NA,"West Ham United","West Ham",42,"25,3","21","128,25 Mill. €","3,05 Mill. €","128,25 Mill. €","3,05 Mill. €",NA
"13",NA,"Stoke City","Stoke City",29,"26,1","20","126,00 Mill. €","4,34 Mill. €","126,00 Mill. €","4,34 Mill. €",NA
"14",NA,"Swansea City","Swansea",31,"25,5","27","118,58 Mill. €","3,83 Mill. €","118,58 Mill. €","3,83 Mill. €",NA
"15",NA,"Aston Villa","Aston Villa",34,"24,0","19","116,30 Mill. €","3,42 Mill. €","116,30 Mill. €","3,42 Mill. €",NA
"16",NA,"Southampton FC","Southampton",31,"23,9","16","102,50 Mill. €","3,31 Mill. €","102,50 Mill. €","3,31 Mill. €",NA
"17",NA,"Norwich City","Norwich",29,"26,2","17","95,75 Mill. €","3,30 Mill. €","95,75 Mill. €","3,30 Mill. €",NA
"18",NA,"Cardiff City","Cardiff",39,"24,6","36","92,35 Mill. €","2,37 Mill. €","92,35 Mill. €","2,37 Mill. €",NA
"19",NA,"West Bromwich Albion","West Brom",30,"26,6","20","91,95 Mill. €","3,07 Mill. €","91,95 Mill. €","3,07 Mill. €",NA
"20",NA,"Hull City","Hull City",33,"26,4","22","69,90 Mill. €","2,12 Mill. €","69,90 Mill. €","2,12 Mill. €",NA
"21",NA,"Crystal Palace","Crystal Palace",41,"26,2","24","64,25 Mill. €","1,57 Mill. €","64,25 Mill. €","1,57 Mill. €",NA
