"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"630","24,4 Years","217","2,72 Bill. €","4,32 Mill. €","2,72 Bill. €","4,32 Mill. €"
"2",NA,"FC Barcelona","FC Barcelona",35,"23,9","11","621,50 Mill. €","17,76 Mill. €","621,50 Mill. €","17,76 Mill. €",NA
"3",NA,"Real Madrid","Real Madrid",32,"23,7","16","525,20 Mill. €","16,41 Mill. €","525,20 Mill. €","16,41 Mill. €",NA
"4",NA,"Atlético Madrid","Atlético Madrid",33,"23,8","15","202,10 Mill. €","6,12 Mill. €","202,10 Mill. €","6,12 Mill. €",NA
"5",NA,"Valencia CF","Valencia CF",27,"24,9","13","169,90 Mill. €","6,29 Mill. €","169,90 Mill. €","6,29 Mill. €",NA
"6",NA,"Villarreal CF","Villarreal CF",34,"24,4","12","149,95 Mill. €","4,41 Mill. €","149,95 Mill. €","4,41 Mill. €",NA
"7",NA,"Sevilla FC","Sevilla FC",32,"24,4","14","145,50 Mill. €","4,55 Mill. €","145,50 Mill. €","4,55 Mill. €",NA
"8",NA,"Málaga CF","Málaga CF",32,"26,0","18","128,20 Mill. €","4,01 Mill. €","128,20 Mill. €","4,01 Mill. €",NA
"9",NA,"Athletic Bilbao","Athletic Bilbao",30,"24,2","1","114,70 Mill. €","3,82 Mill. €","114,70 Mill. €","3,82 Mill. €",NA
"10",NA,"Getafe CF","Getafe CF",31,"25,9","6","79,50 Mill. €","2,56 Mill. €","79,50 Mill. €","2,56 Mill. €",NA
"11",NA,"RCD Espanyol Barcelona","Espanyol",34,"23,4","16","74,60 Mill. €","2,19 Mill. €","74,60 Mill. €","2,19 Mill. €",NA
"12",NA,"Real Zaragoza","Real Zaragoza",31,"25,5","16","72,50 Mill. €","2,34 Mill. €","72,50 Mill. €","2,34 Mill. €",NA
"13",NA,"Real Sociedad","Real Sociedad",25,"24,4","8","70,00 Mill. €","2,80 Mill. €","70,00 Mill. €","2,80 Mill. €",NA
"14",NA,"RCD Mallorca","RCD Mallorca",31,"23,9","13","61,10 Mill. €","1,97 Mill. €","61,10 Mill. €","1,97 Mill. €",NA
"15",NA,"Granada CF","Granada CF",28,"26,5","13","51,70 Mill. €","1,85 Mill. €","51,70 Mill. €","1,85 Mill. €",NA
"16",NA,"Sporting Gijón","Sporting Gijón",31,"25,3","8","49,75 Mill. €","1,60 Mill. €","49,75 Mill. €","1,60 Mill. €",NA
"17",NA,"Real Betis Balompié","Real Betis",33,"25,3","6","46,70 Mill. €","1,42 Mill. €","46,70 Mill. €","1,42 Mill. €",NA
"18",NA,"Racing Santander","Racing",34,"23,6","9","43,60 Mill. €","1,28 Mill. €","43,60 Mill. €","1,28 Mill. €",NA
"19",NA,"Levante UD","Levante UD",31,"27,1","8","41,60 Mill. €","1,34 Mill. €","41,60 Mill. €","1,34 Mill. €",NA
"20",NA,"CA Osasuna","CA Osasuna",32,"26,1","8","40,35 Mill. €","1,26 Mill. €","40,35 Mill. €","1,26 Mill. €",NA
"21",NA,"Rayo Vallecano","Rayo Vallecano",34,"25,3","6","34,00 Mill. €","1,00 Mill. €","34,00 Mill. €","1,00 Mill. €",NA
