"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"588","24,3 Years","368","2,93 Bill. €","4,99 Mill. €","2,93 Bill. €","4,99 Mill. €"
"2",NA,"Chelsea FC","Chelsea",28,"25,6","21","406,70 Mill. €","14,53 Mill. €","406,70 Mill. €","14,53 Mill. €",NA
"3",NA,"Manchester United","Man Utd",31,"24,3","20","356,10 Mill. €","11,49 Mill. €","356,10 Mill. €","11,49 Mill. €",NA
"4",NA,"Liverpool FC","Liverpool",28,"23,9","24","257,23 Mill. €","9,19 Mill. €","257,23 Mill. €","9,19 Mill. €",NA
"5",NA,"Arsenal FC","Arsenal",38,"21,3","30","250,85 Mill. €","6,60 Mill. €","250,85 Mill. €","6,60 Mill. €",NA
"6",NA,"Tottenham Hotspur","Spurs",35,"22,5","18","212,60 Mill. €","6,07 Mill. €","212,60 Mill. €","6,07 Mill. €",NA
"7",NA,"Manchester City","Man City",32,"24,0","20","206,80 Mill. €","6,46 Mill. €","206,80 Mill. €","6,46 Mill. €",NA
"8",NA,"Everton FC","Everton",28,"24,4","15","162,55 Mill. €","5,81 Mill. €","162,55 Mill. €","5,81 Mill. €",NA
"9",NA,"Newcastle United","Newcastle",32,"24,8","20","134,95 Mill. €","4,22 Mill. €","134,95 Mill. €","4,22 Mill. €",NA
"10",NA,"Portsmouth FC","Portsmouth FC",31,"26,8","19","131,50 Mill. €","4,24 Mill. €","131,50 Mill. €","4,24 Mill. €",NA
"11",NA,"Aston Villa","Aston Villa",21,"25,4","8","111,80 Mill. €","5,32 Mill. €","111,80 Mill. €","5,32 Mill. €",NA
"12",NA,"Sunderland AFC","Sunderland",31,"24,9","21","91,28 Mill. €","2,94 Mill. €","91,28 Mill. €","2,94 Mill. €",NA
"13",NA,"Blackburn Rovers","Blackburn",26,"26,4","21","86,75 Mill. €","3,34 Mill. €","86,75 Mill. €","3,34 Mill. €",NA
"14",NA,"Bolton Wanderers","Bolton",28,"24,6","18","82,40 Mill. €","2,94 Mill. €","82,40 Mill. €","2,94 Mill. €",NA
"15",NA,"West Ham United","West Ham",26,"24,3","14","80,55 Mill. €","3,10 Mill. €","80,55 Mill. €","3,10 Mill. €",NA
"16",NA,"Middlesbrough FC","Middlesbrough",30,"22,3","13","73,65 Mill. €","2,46 Mill. €","73,65 Mill. €","2,46 Mill. €",NA
"17",NA,"Fulham FC","Fulham",32,"25,3","20","73,10 Mill. €","2,28 Mill. €","73,10 Mill. €","2,28 Mill. €",NA
"18",NA,"West Bromwich Albion","West Brom",30,"24,6","21","64,05 Mill. €","2,14 Mill. €","64,05 Mill. €","2,14 Mill. €",NA
"19",NA,"Wigan Athletic","Wigan",25,"25,7","18","61,60 Mill. €","2,46 Mill. €","61,60 Mill. €","2,46 Mill. €",NA
"20",NA,"Stoke City","Stoke City",29,"26,6","15","49,70 Mill. €","1,71 Mill. €","49,70 Mill. €","1,71 Mill. €",NA
"21",NA,"Hull City","Hull City",27,"27,2","12","38,63 Mill. €","1,43 Mill. €","38,63 Mill. €","1,43 Mill. €",NA
