"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"484","27,1 Years","216","3,65 Bill. €","7,53 Mill. €","3,65 Bill. €","7,53 Mill. €"
"2",NA,"Real Madrid","Real Madrid",24,"27,2","15","764,80 Mill. €","31,87 Mill. €","764,80 Mill. €","31,87 Mill. €",NA
"3",NA,"FC Barcelona","FC Barcelona",23,"27,3","13","758,00 Mill. €","32,96 Mill. €","758,00 Mill. €","32,96 Mill. €",NA
"4",NA,"Atlético Madrid","Atlético Madrid",23,"27,7","17","501,50 Mill. €","21,80 Mill. €","501,50 Mill. €","21,80 Mill. €",NA
"5",NA,"Sevilla FC","Sevilla FC",24,"27,6","18","236,00 Mill. €","9,83 Mill. €","236,00 Mill. €","9,83 Mill. €",NA
"6",NA,"Valencia CF","Valencia CF",23,"26,3","12","185,00 Mill. €","8,04 Mill. €","185,00 Mill. €","8,04 Mill. €",NA
"7",NA,"Villarreal CF","Villarreal CF",23,"27,9","10","174,00 Mill. €","7,57 Mill. €","174,00 Mill. €","7,57 Mill. €",NA
"8",NA,"Athletic Bilbao","Athletic Bilbao",23,"27,7","1","157,30 Mill. €","6,84 Mill. €","157,30 Mill. €","6,84 Mill. €",NA
"9",NA,"Real Sociedad","Real Sociedad",25,"26,7","3","114,60 Mill. €","4,58 Mill. €","114,60 Mill. €","4,58 Mill. €",NA
"10",NA,"Celta de Vigo","Celta de Vigo",24,"26,3","12","105,60 Mill. €","4,40 Mill. €","105,60 Mill. €","4,40 Mill. €",NA
"11",NA,"Málaga CF","Málaga CF",28,"27,2","16","77,50 Mill. €","2,77 Mill. €","77,50 Mill. €","2,77 Mill. €",NA
"12",NA,"UD Las Palmas","UD Las Palmas",23,"27,8","7","70,00 Mill. €","3,04 Mill. €","70,00 Mill. €","3,04 Mill. €",NA
"13",NA,"RCD Espanyol Barcelona","Espanyol",23,"27,8","7","68,30 Mill. €","2,97 Mill. €","68,30 Mill. €","2,97 Mill. €",NA
"14",NA,"Deportivo de La Coruña","Dep. La Coruña",23,"28,2","14","65,80 Mill. €","2,86 Mill. €","65,80 Mill. €","2,86 Mill. €",NA
"15",NA,"Real Betis Balompié","Real Betis",25,"27,1","11","64,40 Mill. €","2,58 Mill. €","64,40 Mill. €","2,58 Mill. €",NA
"16",NA,"Deportivo Alavés","Alavés",23,"26,3","9","62,10 Mill. €","2,70 Mill. €","62,10 Mill. €","2,70 Mill. €",NA
"17",NA,"Granada CF","Granada CF",25,"25,1","21","57,00 Mill. €","2,28 Mill. €","57,00 Mill. €","2,28 Mill. €",NA
"18",NA,"SD Eibar","SD Eibar",22,"27,3","5","53,90 Mill. €","2,45 Mill. €","53,90 Mill. €","2,45 Mill. €",NA
"19",NA,"Sporting Gijón","Sporting Gijón",26,"26,9","8","48,70 Mill. €","1,87 Mill. €","48,70 Mill. €","1,87 Mill. €",NA
"20",NA,"CD Leganés","CD Leganés",27,"27,0","9","43,10 Mill. €","1,60 Mill. €","43,10 Mill. €","1,60 Mill. €",NA
"21",NA,"CA Osasuna","CA Osasuna",27,"27,5","8","38,90 Mill. €","1,44 Mill. €","38,90 Mill. €","1,44 Mill. €",NA
