"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"794","23,9 Years","481","4,29 Bill. €","5,40 Mill. €","4,29 Bill. €","5,40 Mill. €"
"2",NA,"Chelsea FC","Chelsea",40,"23,7","30","579,80 Mill. €","14,50 Mill. €","579,80 Mill. €","14,50 Mill. €",NA
"3",NA,"Manchester City","Man City",38,"24,4","27","452,75 Mill. €","11,91 Mill. €","452,75 Mill. €","11,91 Mill. €",NA
"4",NA,"Arsenal FC","Arsenal",41,"23,7","30","408,60 Mill. €","9,97 Mill. €","408,60 Mill. €","9,97 Mill. €",NA
"5",NA,"Manchester United","Man Utd",44,"22,5","23","374,15 Mill. €","8,50 Mill. €","374,15 Mill. €","8,50 Mill. €",NA
"6",NA,"Liverpool FC","Liverpool",44,"22,5","25","325,00 Mill. €","7,39 Mill. €","325,00 Mill. €","7,39 Mill. €",NA
"7",NA,"Tottenham Hotspur","Spurs",31,"22,7","16","253,75 Mill. €","8,19 Mill. €","253,75 Mill. €","8,19 Mill. €",NA
"8",NA,"Everton FC","Everton",39,"24,7","19","204,13 Mill. €","5,23 Mill. €","204,13 Mill. €","5,23 Mill. €",NA
"9",NA,"Newcastle United","Newcastle",42,"23,6","27","200,65 Mill. €","4,78 Mill. €","200,65 Mill. €","4,78 Mill. €",NA
"10",NA,"Southampton FC","Southampton",35,"24,1","19","187,50 Mill. €","5,36 Mill. €","187,50 Mill. €","5,36 Mill. €",NA
"11",NA,"West Ham United","West Ham",50,"23,2","26","185,20 Mill. €","3,70 Mill. €","185,20 Mill. €","3,70 Mill. €",NA
"12",NA,"Swansea City","Swansea",36,"24,8","29","138,20 Mill. €","3,84 Mill. €","138,20 Mill. €","3,84 Mill. €",NA
"13",NA,"Sunderland AFC","Sunderland",42,"25,5","27","128,25 Mill. €","3,05 Mill. €","128,25 Mill. €","3,05 Mill. €",NA
"14",NA,"Stoke City","Stoke City",31,"26,3","24","127,25 Mill. €","4,10 Mill. €","127,25 Mill. €","4,10 Mill. €",NA
"15",NA,"Crystal Palace","Crystal Palace",38,"25,6","19","121,00 Mill. €","3,18 Mill. €","121,00 Mill. €","3,18 Mill. €",NA
"16",NA,"West Bromwich Albion","West Brom",35,"25,4","21","117,00 Mill. €","3,34 Mill. €","117,00 Mill. €","3,34 Mill. €",NA
"17",NA,"Aston Villa","Aston Villa",44,"23,5","22","112,30 Mill. €","2,55 Mill. €","112,30 Mill. €","2,55 Mill. €",NA
"18",NA,"Watford FC","Watford",39,"26,4","34","110,13 Mill. €","2,82 Mill. €","110,13 Mill. €","2,82 Mill. €",NA
"19",NA,"Norwich City","Norwich",41,"25,6","22","103,75 Mill. €","2,53 Mill. €","103,75 Mill. €","2,53 Mill. €",NA
"20",NA,"Leicester City","Leicester",35,"25,9","19","91,25 Mill. €","2,61 Mill. €","91,25 Mill. €","2,61 Mill. €",NA
"21",NA,"AFC Bournemouth","Bournemouth",49,"24,1","22","68,03 Mill. €","1,39 Mill. €","68,03 Mill. €","1,39 Mill. €",NA
