"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"589","24,9 Years","220","2,62 Bill. €","4,45 Mill. €","2,62 Bill. €","4,45 Mill. €"
"2",NA,"FC Barcelona","FC Barcelona",27,"25,2","9","621,00 Mill. €","23,00 Mill. €","621,00 Mill. €","23,00 Mill. €",NA
"3",NA,"Real Madrid","Real Madrid",33,"24,5","18","593,50 Mill. €","17,98 Mill. €","593,50 Mill. €","17,98 Mill. €",NA
"4",NA,"Atlético Madrid","Atlético Madrid",27,"24,3","13","177,50 Mill. €","6,57 Mill. €","177,50 Mill. €","6,57 Mill. €",NA
"5",NA,"Valencia CF","Valencia CF",27,"24,6","14","171,20 Mill. €","6,34 Mill. €","171,20 Mill. €","6,34 Mill. €",NA
"6",NA,"Sevilla FC","Sevilla FC",31,"24,3","13","134,10 Mill. €","4,33 Mill. €","134,10 Mill. €","4,33 Mill. €",NA
"7",NA,"Athletic Bilbao","Athletic Bilbao",29,"23,2","2","117,60 Mill. €","4,06 Mill. €","117,60 Mill. €","4,06 Mill. €",NA
"8",NA,"Málaga CF","Málaga CF",33,"25,8","21","111,30 Mill. €","3,37 Mill. €","111,30 Mill. €","3,37 Mill. €",NA
"9",NA,"Granada CF","Granada CF",29,"26,2","14","77,70 Mill. €","2,68 Mill. €","77,70 Mill. €","2,68 Mill. €",NA
"10",NA,"Getafe CF","Getafe CF",28,"26,0","5","70,70 Mill. €","2,53 Mill. €","70,70 Mill. €","2,53 Mill. €",NA
"11",NA,"Real Sociedad","Real Sociedad",22,"24,7","6","69,00 Mill. €","3,14 Mill. €","69,00 Mill. €","3,14 Mill. €",NA
"12",NA,"RCD Mallorca","RCD Mallorca",32,"24,5","13","59,85 Mill. €","1,87 Mill. €","59,85 Mill. €","1,87 Mill. €",NA
"13",NA,"Deportivo de La Coruña","Dep. La Coruña",29,"27,7","15","59,30 Mill. €","2,04 Mill. €","59,30 Mill. €","2,04 Mill. €",NA
"14",NA,"RCD Espanyol Barcelona","Espanyol",27,"24,9","12","58,90 Mill. €","2,18 Mill. €","58,90 Mill. €","2,18 Mill. €",NA
"15",NA,"Real Betis Balompié","Real Betis",33,"24,8","8","51,40 Mill. €","1,56 Mill. €","51,40 Mill. €","1,56 Mill. €",NA
"16",NA,"Levante UD","Levante UD",31,"27,2","14","51,35 Mill. €","1,66 Mill. €","51,35 Mill. €","1,66 Mill. €",NA
"17",NA,"Real Zaragoza","Real Zaragoza",34,"25,1","12","50,05 Mill. €","1,47 Mill. €","50,05 Mill. €","1,47 Mill. €",NA
"18",NA,"CA Osasuna","CA Osasuna",30,"26,9","6","46,40 Mill. €","1,55 Mill. €","46,40 Mill. €","1,55 Mill. €",NA
"19",NA,"Rayo Vallecano","Rayo Vallecano",34,"25,9","8","41,70 Mill. €","1,23 Mill. €","41,70 Mill. €","1,23 Mill. €",NA
"20",NA,"Celta de Vigo","Celta de Vigo",29,"25,4","9","36,95 Mill. €","1,27 Mill. €","36,95 Mill. €","1,27 Mill. €",NA
"21",NA,"Real Valladolid CF","Real Valladolid",24,"25,8","8","23,85 Mill. €","994 Th. €","23,85 Mill. €","994 Th. €",NA
