"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"709","24,8 Years","436","3,63 Bill. €","5,11 Mill. €","3,63 Bill. €","5,11 Mill. €"
"2",NA,"Chelsea FC","Chelsea",30,"26,3","21","467,50 Mill. €","15,58 Mill. €","467,50 Mill. €","15,58 Mill. €",NA
"3",NA,"Manchester City","Man City",34,"24,7","22","461,80 Mill. €","13,58 Mill. €","461,80 Mill. €","13,58 Mill. €",NA
"4",NA,"Manchester United","Man Utd",41,"23,6","22","398,25 Mill. €","9,71 Mill. €","398,25 Mill. €","9,71 Mill. €",NA
"5",NA,"Tottenham Hotspur","Spurs",49,"24,2","24","316,00 Mill. €","6,45 Mill. €","316,00 Mill. €","6,45 Mill. €",NA
"6",NA,"Arsenal FC","Arsenal",44,"23,3","33","312,43 Mill. €","7,10 Mill. €","312,43 Mill. €","7,10 Mill. €",NA
"7",NA,"Liverpool FC","Liverpool",28,"25,0","16","247,75 Mill. €","8,85 Mill. €","247,75 Mill. €","8,85 Mill. €",NA
"8",NA,"Everton FC","Everton",34,"25,6","24","190,18 Mill. €","5,59 Mill. €","190,18 Mill. €","5,59 Mill. €",NA
"9",NA,"Aston Villa","Aston Villa",34,"25,3","21","157,60 Mill. €","4,64 Mill. €","157,60 Mill. €","4,64 Mill. €",NA
"10",NA,"Sunderland AFC","Sunderland",33,"25,0","18","125,05 Mill. €","3,79 Mill. €","125,05 Mill. €","3,79 Mill. €",NA
"11",NA,"Newcastle United","Newcastle",35,"24,1","21","120,53 Mill. €","3,44 Mill. €","120,53 Mill. €","3,44 Mill. €",NA
"12",NA,"Stoke City","Stoke City",31,"27,9","15","119,05 Mill. €","3,84 Mill. €","119,05 Mill. €","3,84 Mill. €",NA
"13",NA,"Fulham FC","Fulham",36,"26,1","28","118,55 Mill. €","3,29 Mill. €","118,55 Mill. €","3,29 Mill. €",NA
"14",NA,"Queens Park Rangers","QPR",46,"27,0","23","106,05 Mill. €","2,31 Mill. €","106,05 Mill. €","2,31 Mill. €",NA
"15",NA,"Bolton Wanderers","Bolton",37,"25,2","19","98,15 Mill. €","2,65 Mill. €","98,15 Mill. €","2,65 Mill. €",NA
"16",NA,"Blackburn Rovers","Blackburn",36,"24,5","24","90,65 Mill. €","2,52 Mill. €","90,65 Mill. €","2,52 Mill. €",NA
"17",NA,"Wolverhampton Wanderers","Wolves",35,"24,1","23","82,00 Mill. €","2,34 Mill. €","82,00 Mill. €","2,34 Mill. €",NA
"18",NA,"West Bromwich Albion","West Brom",36,"25,0","22","81,38 Mill. €","2,26 Mill. €","81,38 Mill. €","2,26 Mill. €",NA
"19",NA,"Wigan Athletic","Wigan",29,"25,4","22","70,00 Mill. €","2,41 Mill. €","70,00 Mill. €","2,41 Mill. €",NA
"20",NA,"Swansea City","Swansea",32,"24,8","26","40,55 Mill. €","1,27 Mill. €","40,55 Mill. €","1,27 Mill. €",NA
"21",NA,"Norwich City","Norwich",29,"24,5","12","22,50 Mill. €","776 Th. €","22,50 Mill. €","776 Th. €",NA
