"","Club.s.","Club.s..1","name","name.1","Squad","Age","Foreign.players","Total.market.value","ø.Market.value","Total.MV","ø.MV"
"1",NA,"","",NA,"748","24,2 Years","460","4,10 Bill. €","5,49 Mill. €","4,10 Bill. €","5,49 Mill. €"
"2",NA,"Chelsea FC","Chelsea",38,"23,9","28","526,10 Mill. €","13,84 Mill. €","526,10 Mill. €","13,84 Mill. €",NA
"3",NA,"Manchester United","Man Utd",43,"23,9","25","522,40 Mill. €","12,15 Mill. €","522,40 Mill. €","12,15 Mill. €",NA
"4",NA,"Manchester City","Man City",36,"25,4","29","478,00 Mill. €","13,28 Mill. €","478,00 Mill. €","13,28 Mill. €",NA
"5",NA,"Arsenal FC","Arsenal",42,"23,0","30","404,35 Mill. €","9,63 Mill. €","404,35 Mill. €","9,63 Mill. €",NA
"6",NA,"Tottenham Hotspur","Spurs",42,"23,7","25","298,25 Mill. €","7,10 Mill. €","298,25 Mill. €","7,10 Mill. €",NA
"7",NA,"Liverpool FC","Liverpool",35,"23,4","21","285,00 Mill. €","8,14 Mill. €","285,00 Mill. €","8,14 Mill. €",NA
"8",NA,"Everton FC","Everton",40,"24,3","19","177,50 Mill. €","4,44 Mill. €","177,50 Mill. €","4,44 Mill. €",NA
"9",NA,"Southampton FC","Southampton",37,"23,5","20","150,40 Mill. €","4,06 Mill. €","150,40 Mill. €","4,06 Mill. €",NA
"10",NA,"Newcastle United","Newcastle",42,"22,9","26","139,85 Mill. €","3,33 Mill. €","139,85 Mill. €","3,33 Mill. €",NA
"11",NA,"Stoke City","Stoke City",30,"26,4","23","128,85 Mill. €","4,30 Mill. €","128,85 Mill. €","4,30 Mill. €",NA
"12",NA,"Aston Villa","Aston Villa",38,"24,3","19","127,00 Mill. €","3,34 Mill. €","127,00 Mill. €","3,34 Mill. €",NA
"13",NA,"West Ham United","West Ham",36,"24,8","21","123,00 Mill. €","3,42 Mill. €","123,00 Mill. €","3,42 Mill. €",NA
"14",NA,"Hull City","Hull City",35,"26,1","24","122,25 Mill. €","3,49 Mill. €","122,25 Mill. €","3,49 Mill. €",NA
"15",NA,"Sunderland AFC","Sunderland",34,"24,8","20","115,25 Mill. €","3,39 Mill. €","115,25 Mill. €","3,39 Mill. €",NA
"16",NA,"Queens Park Rangers","QPR",41,"25,1","24","115,05 Mill. €","2,81 Mill. €","115,05 Mill. €","2,81 Mill. €",NA
"17",NA,"Swansea City","Swansea",36,"24,3","30","107,70 Mill. €","2,99 Mill. €","107,70 Mill. €","2,99 Mill. €",NA
"18",NA,"West Bromwich Albion","West Brom",34,"25,5","20","100,60 Mill. €","2,96 Mill. €","100,60 Mill. €","2,96 Mill. €",NA
"19",NA,"Crystal Palace","Crystal Palace",42,"26,0","25","89,30 Mill. €","2,13 Mill. €","89,30 Mill. €","2,13 Mill. €",NA
"20",NA,"Leicester City","Leicester",37,"25,9","18","55,85 Mill. €","1,51 Mill. €","55,85 Mill. €","1,51 Mill. €",NA
"21",NA,"Burnley FC","Burnley",30,"25,5","13","36,75 Mill. €","1,23 Mill. €","36,75 Mill. €","1,23 Mill. €",NA
